Tweet,Location,Date
"b'I wish I could just be Corona virus ,, traveling from one country to another without transport money ,,chai life for sweet die'","Lagos,Nigeria",2020-02-29 23:59:58
b'@zikirillahi @akcartel @Abuja_Facts Yes cos corona virus is not an airborne',Kano katsina,2020-02-29 23:27:23
"b""The Corona virus is a man made virus which was created to curtail population growth ...\nCall this a conspiracy theory but that's the truth and the sheep is always ignorant of the truth #coronavirusnigeria #COVID19Nigeria #coronavirus #coronavirusinlagos""","Asaba, Nigeria",2020-02-29 23:26:59
b'Corona virus already in GH. Have u forgotten @shattawalegh is still here in Ghana.',"Greater Accra, Ghana",2020-02-29 23:26:42
b'@lilcel4 That\xe2\x80\x99s how una dey catch all this Yama Yama \xf0\x9f\xa6\xa0 corona virus',"Lagos, Nigeria",2020-02-29 23:26:17
b'@NANAQUOPHI15 Ex..that Corona virus is too stubborn \xf0\x9f\x98\x82',"Kumasi, Ghana",2020-02-29 23:25:36
b'@Eebraheem_Ng @AlhajiAraphat Ibrahim avoid me\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3...let these fine guys that are free of corona virus see road to shoot their shot ojare',Ibadan,2020-02-29 23:25:32
b'Ein own emergency go pass person wei get Corona and Virus https://t.co/XKNIm7sPo8',Nigeria,2020-02-29 23:25:15
b'ma boy send voice note I figa he dey come talk about something  e\nSerious...he dey tell me how sekof the corona virus ein matches for ein betslip top from Nigeria.. Them kno play...ah you should have seen the way I searched for my earpiece',"Accra, Ghana",2020-02-29 23:24:56
"b'Corona virus is real, no lapse am o'","Abuja, Nigeria",2020-02-29 23:23:12
"b""I assume Jackass is trending because of Trump's botched response to the Corona Virus.""",CO,2020-02-29 23:22:07
"b'@ShehuSani Yes are right senator , impact people should be  very vigilant,  corona virus is real.'","Lagos, Nigeria",2020-02-29 23:20:24
b'We shld all reply that Corona beer is an antidote to the Corona virus--these idiots would fill their fridges. https://t.co/EywnmAtXkk',Pacific Northwest,2020-02-29 23:20:01
b'As per fight against Corona virus \xf0\x9f\x90\x82 https://t.co/QRC6zarNJq',"Lagos, Nigeria",2020-02-29 23:19:09
b'Nigeria what is the way forward for us?  How do we prevent this deadly virus(corona virus)?',"Abia, Nigeria",2020-02-29 23:18:16
b'@Sarah_Sark Dont mind am Corona Virus catch him',"Kumasi, Ghana",2020-02-29 23:16:07
