Tweet,Location,Date
"b'Pleas let us all be socially conscious of corona virus. Its real and its in Nigeria, one case in lagos'",Kaduna &Lagos Nigeria,2020-03-02 23:57:59
"b'Nothing works in Nigeria,not even corona virus \xf0\x9f\x98\xad\xf0\x9f\x98\x82'",ibiza,2020-03-02 23:45:56
b'@officialnyscng I suggest the batch A orientation camp should be suggested due to the trending news of CORONA virus outbreak in Nigeria to avoid the risk of the disease spreading......just a suggestion \n#CoronaOutbreak #Coronavirusnyc #coronavirus',"Kaduna, Nigeria",2020-03-02 23:29:32
"b'@MBuhari I wonder why @MBuhari  has not blame Jonathan pass regime for corona virus in Nigeria, @lie lie Mohammed make the statement.'","Ogogoro Village, Nigeria",2020-03-02 23:00:42
b'Corona virus \xf0\x9f\xa6\xa0 won\xe2\x80\x99t last in Nigeria because it\xe2\x80\x99s made In China \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',Lagos mainland ♟,2020-03-02 22:55:56
"b""I'm not afraid of Corona Virus coming to Nigeria\nI just pity the poor disease cos hunger and heat will chase him out.\n\n#Covid_19 \n#CoronaOutbreak""","Benin-City, Nigeria",2020-03-02 22:48:22
b'@farouqyola Now hold........  responsible If Corona virus spreads in Nigeria??? Hhhhh. Allah ya kyauta.',"Kano, Nigeria",2020-03-02 22:37:59
b'Corona virus went straight for those in power in Iran\n\nNigeria will always fail us\n\n#TachaYouTubeQandA https://t.co/u2YJ4jbEvt',Ghana,2020-03-02 22:26:49
"b""@__Mbah Corona virus can't last in Nigeria, its a China product""",,2020-03-02 22:02:44
"b""@iam_ahmad_auwal @Fouadmuhd @Ameenu_Kutama @Asig7 They are using una money to treat corona virus, they will pay una arrears later \xf0\x9f\x98\x81. They may even use some of you as LAB rats since una don swear oath to die for our dear country Nigeria if that's what it takes\xf0\x9f\x98\x89""","Kano, Nigeria ",2020-03-02 22:01:46
"b""@GarShehu I honestly don't understand ur point. Is it not a big shame that malaria kills 822 in Nigeria everyday? Look at how d whole world is taking d fight against CORONA VIRUS seriously. With this kind of man as adviser to our president, honestly. Nigeria is in big trouble""",Lagos,2020-03-02 21:55:39
"b'The only thing I picked from the corona virus break out in Nigeria is; it sensitizes us on what to prepare for and do. Not minding the wicked business owners we have around. \n\nIf the citizenry is good, the leaders will be good.'",Akure,2020-03-02 21:41:48
"b'@NgunanAdamuBBC good evening ma, I am Richard Ajekwe a corp member serving in Serti Baruwa Gashaka LGA Taraba, having seen the out break of Corona virus in Lagos Nigeria I wish to call on the authority of NYSC to suspend the move for the camping of batch A'","Makurdi, Nigeria",2020-03-02 21:21:55
b'Eh be like na corona virus dey cause all this heat for Nigeria #CoronaOutbreak',Studio,2020-03-02 21:21:15
b'When Nigeria sighted Corona virus and realized that Lassa fever is yet to be dealt with.\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/xCVDhheRJ9',"Ibada, Nigeria",2020-03-02 21:12:15
"b'If you believe ""corona virus"" is in Lagos Nigeria Retweet and if you don\'t believe Like.....So we can do the statistics.'",inside life,2020-03-02 21:10:54
b'The heat in this Nigeria cannot make corona virus stay\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3',"Lagos, Nigeria",2020-03-02 21:09:23
